,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
606,Por fusión,2012,18 Ceuta,0
607,Por fusión,2012,19 Melilla,0
608,Voluntaria,2012,01 Andalucía,2664
609,Voluntaria,2012,02 Aragón,633
610,Voluntaria,2012,"03 Asturias, Principado de",320
611,Voluntaria,2012,"04 Balears, Illes",651
612,Voluntaria,2012,05 Canarias,809
613,Voluntaria,2012,06 Canarias,256
614,Voluntaria,2012,07 Castilla y León,977
615,Voluntaria,2012,08 Castilla-La Mancha,336
616,Voluntaria,2012,09 Cataluña,1512
617,Voluntaria,2012,10 Comunitat Valenciana,1276
618,Voluntaria,2012,11 Extremadura,358
619,Voluntaria,2012,12 Galicia,1278
620,Voluntaria,2012,"13 Madrid, Comunidad de",3575
621,Voluntaria,2012,"14 Murcia, Región de",69
622,Voluntaria,2012,"15 Navarra, Comunidad Foral de",21
623,Voluntaria,2012,16 País Vasco,1016
624,Voluntaria,2012,"17 Rioja, La",138
625,Voluntaria,2012,18 Ceuta,18
626,Voluntaria,2012,19 Melilla,13
