Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;I Hostelería;2023M09;6,11
Disueltas;I Hostelería;2023M08;7,11
Disueltas;I Hostelería;2023M07;5,37
Disueltas;I Hostelería;2023M06;6,94
Disueltas;I Hostelería;2023M05;6,76
Disueltas;I Hostelería;2023M04;5,13
Disueltas;I Hostelería;2023M03;5,06
Disueltas;I Hostelería;2023M02;5,04
Disueltas;I Hostelería;2023M01;6,06
Disueltas;I Hostelería;2022M12;5,97
Disueltas;I Hostelería;2022M11;5,01
Disueltas;I Hostelería;2022M10;5,26
Disueltas;I Hostelería;2022M09;4,83
Disueltas;I Hostelería;2022M08;5,2
Disueltas;I Hostelería;2022M07;4,98
Disueltas;I Hostelería;2022M06;6,64
Disueltas;I Hostelería;2022M05;6,64
Disueltas;I Hostelería;2022M04;5,14
Disueltas;I Hostelería;2022M03;4,88
Disueltas;I Hostelería;2022M02;6,18
Disueltas;I Hostelería;2022M01;5,23
Disueltas;I Hostelería;2021M12;6,01
Disueltas;I Hostelería;2021M11;6,15
Disueltas;I Hostelería;2021M10;5,69
Disueltas;I Hostelería;2021M09;6,12
Disueltas;I Hostelería;2021M08;6,45
Disueltas;I Hostelería;2021M07;5,81
Disueltas;I Hostelería;2021M06;5,49
Disueltas;I Hostelería;2021M05;6,04
Disueltas;I Hostelería;2021M04;6,89
Disueltas;I Hostelería;2021M03;6,26
Disueltas;I Hostelería;2021M02;6,97
Disueltas;I Hostelería;2021M01;5,87
Disueltas;I Hostelería;2020M12;6,04
Disueltas;I Hostelería;2020M11;5,68
Disueltas;I Hostelería;2020M10;7,04
Disueltas;I Hostelería;2020M09;4,8
Disueltas;I Hostelería;2020M08;7,32
Disueltas;I Hostelería;2020M07;7,14
Disueltas;I Hostelería;2020M06;5,56
Disueltas;I Hostelería;2020M05;5,25
Disueltas;I Hostelería;2020M04;5,51
Disueltas;I Hostelería;2020M03;6,11
Disueltas;I Hostelería;2020M02;5,14
Disueltas;I Hostelería;2020M01;5,63
Disueltas;I Hostelería;2019M12;6,14
Disueltas;I Hostelería;2019M11;6,2
Disueltas;I Hostelería;2019M10;4,99
Disueltas;I Hostelería;2019M09;3,99
Disueltas;I Hostelería;2019M08;6,58
Disueltas;I Hostelería;2019M07;4,59
Disueltas;I Hostelería;2019M06;6,17
Disueltas;I Hostelería;2019M05;6,22
Disueltas;I Hostelería;2019M04;6,71
Disueltas;I Hostelería;2019M03;5,01
Disueltas;I Hostelería;2019M02;5,56
Disueltas;I Hostelería;2019M01;4,68
Disueltas;I Hostelería;2018M12;5,01
Disueltas;I Hostelería;2018M11;5,65
Disueltas;I Hostelería;2018M10;5,48
Disueltas;I Hostelería;2018M09;5,9
Disueltas;I Hostelería;2018M08;6,69
Disueltas;I Hostelería;2018M07;5,27
Disueltas;I Hostelería;2018M06;4,69
Disueltas;I Hostelería;2018M05;7,55
Disueltas;I Hostelería;2018M04;6,35
Disueltas;I Hostelería;2018M03;3,69
Disueltas;I Hostelería;2018M02;4,98
Disueltas;I Hostelería;2018M01;6,45
Disueltas;I Hostelería;2017M12;5,72
Disueltas;I Hostelería;2017M11;5,89
Disueltas;I Hostelería;2017M10;5,95
Disueltas;I Hostelería;2017M09;5,04
Disueltas;I Hostelería;2017M08;4,71
Disueltas;I Hostelería;2017M07;4,53
Disueltas;I Hostelería;2017M06;5,6
Disueltas;I Hostelería;2017M05;6,2
Disueltas;I Hostelería;2017M04;6,28
Disueltas;I Hostelería;2017M03;5,38
Disueltas;I Hostelería;2017M02;4,97
Disueltas;I Hostelería;2017M01;5,22
Disueltas;I Hostelería;2016M12;5,38
Disueltas;I Hostelería;2016M11;6,16
Disueltas;I Hostelería;2016M10;5,14
Disueltas;I Hostelería;2016M09;5,55
Disueltas;I Hostelería;2016M08;4,87
Disueltas;I Hostelería;2016M07;4,7
Disueltas;I Hostelería;2016M06;5,04
Disueltas;I Hostelería;2016M05;4,92
Disueltas;I Hostelería;2016M04;4,9
Disueltas;I Hostelería;2016M03;4,58
Disueltas;I Hostelería;2016M02;4,96
Disueltas;I Hostelería;2016M01;6,28
Disueltas;I Hostelería;2015M12;4,39
Disueltas;I Hostelería;2015M11;6,15
Disueltas;I Hostelería;2015M10;4,78
Disueltas;I Hostelería;2015M09;5,13
Disueltas;I Hostelería;2015M08;4,56
Disueltas;I Hostelería;2015M07;4,68
Disueltas;I Hostelería;2015M06;4,69
Disueltas;I Hostelería;2015M05;4,87
Disueltas;I Hostelería;2015M04;5,63
Disueltas;I Hostelería;2015M03;5,67
Disueltas;I Hostelería;2015M02;5,68
Disueltas;I Hostelería;2015M01;4,48
Disueltas;I Hostelería;2014M12;4,47
Disueltas;I Hostelería;2014M11;6,02
Disueltas;I Hostelería;2014M10;4,04
Disueltas;I Hostelería;2014M09;5,44
Disueltas;I Hostelería;2014M08;4,47
Disueltas;I Hostelería;2014M07;4,55
Disueltas;I Hostelería;2014M06;5,3
Disueltas;I Hostelería;2014M05;4,45
Disueltas;I Hostelería;2014M04;5,72
Disueltas;I Hostelería;2014M03;3,93
Disueltas;I Hostelería;2014M02;4,31
Disueltas;I Hostelería;2014M01;4,22
Disueltas;I Hostelería;2013M12;5,13
Disueltas;I Hostelería;2013M11;4,23
Disueltas;I Hostelería;2013M10;3,79
Disueltas;I Hostelería;2013M09;4,36
Disueltas;I Hostelería;2013M08;4,48
Disueltas;I Hostelería;2013M07;4,56
Disueltas;I Hostelería;2013M06;4,65
Disueltas;I Hostelería;2013M05;4,64
Disueltas;I Hostelería;2013M04;3,97
Disueltas;I Hostelería;2013M03;5,21
Disueltas;I Hostelería;2013M02;4,32
Disueltas;I Hostelería;2013M01;5,16
Disueltas;I Hostelería;2012M12;4,48
Disueltas;I Hostelería;2012M11;5,21
Disueltas;I Hostelería;2012M10;4,9
Disueltas;I Hostelería;2012M09;3,56
Disueltas;I Hostelería;2012M08;3,48
Disueltas;I Hostelería;2012M07;4,11
Disueltas;I Hostelería;2012M06;4,56
Disueltas;I Hostelería;2012M05;4,07
Disueltas;I Hostelería;2012M04;3,48
Disueltas;I Hostelería;2012M03;4,84
Disueltas;I Hostelería;2012M02;3,98
Disueltas;I Hostelería;2012M01;5
Disueltas;J Información y comunicaciones;2023M09;4,74
Disueltas;J Información y comunicaciones;2023M08;4,15
Disueltas;J Información y comunicaciones;2023M07;3,88
Disueltas;J Información y comunicaciones;2023M06;5,01
Disueltas;J Información y comunicaciones;2023M05;3,76
Disueltas;J Información y comunicaciones;2023M04;2,99
Disueltas;J Información y comunicaciones;2023M03;3,81
Disueltas;J Información y comunicaciones;2023M02;3,15
Disueltas;J Información y comunicaciones;2023M01;3,8
Disueltas;J Información y comunicaciones;2022M12;3,72
Disueltas;J Información y comunicaciones;2022M11;7,38
Disueltas;J Información y comunicaciones;2022M10;4,12
Disueltas;J Información y comunicaciones;2022M09;3,85
Disueltas;J Información y comunicaciones;2022M08;4,79
Disueltas;J Información y comunicaciones;2022M07;3,55
Disueltas;J Información y comunicaciones;2022M06;3,52
Disueltas;J Información y comunicaciones;2022M05;3,52
Disueltas;J Información y comunicaciones;2022M04;3,87
Disueltas;J Información y comunicaciones;2022M03;3,83
Disueltas;J Información y comunicaciones;2022M02;4,82
Disueltas;J Información y comunicaciones;2022M01;3,68
Disueltas;J Información y comunicaciones;2021M12;3,85
Disueltas;J Información y comunicaciones;2021M11;3,47
Disueltas;J Información y comunicaciones;2021M10;4,44
Disueltas;J Información y comunicaciones;2021M09;4,39
Disueltas;J Información y comunicaciones;2021M08;3,77
Disueltas;J Información y comunicaciones;2021M07;3,74
Disueltas;J Información y comunicaciones;2021M06;4,72
Disueltas;J Información y comunicaciones;2021M05;4,01
Disueltas;J Información y comunicaciones;2021M04;3,39
Disueltas;J Información y comunicaciones;2021M03;3,72
Disueltas;J Información y comunicaciones;2021M02;3,08
Disueltas;J Información y comunicaciones;2021M01;4,16
Disueltas;J Información y comunicaciones;2020M12;3,61
Disueltas;J Información y comunicaciones;2020M11;2,96
Disueltas;J Información y comunicaciones;2020M10;4,02
Disueltas;J Información y comunicaciones;2020M09;3,87
Disueltas;J Información y comunicaciones;2020M08;5,27
Disueltas;J Información y comunicaciones;2020M07;3,71
Disueltas;J Información y comunicaciones;2020M06;3,64
Disueltas;J Información y comunicaciones;2020M05;4,62
Disueltas;J Información y comunicaciones;2020M04;4,26
Disueltas;J Información y comunicaciones;2020M03;3,23
Disueltas;J Información y comunicaciones;2020M02;4,02
Disueltas;J Información y comunicaciones;2020M01;4,28
Disueltas;J Información y comunicaciones;2019M12;3,49
Disueltas;J Información y comunicaciones;2019M11;3,43
Disueltas;J Información y comunicaciones;2019M10;4,07
Disueltas;J Información y comunicaciones;2019M09;3,25
Disueltas;J Información y comunicaciones;2019M08;4,48
Disueltas;J Información y comunicaciones;2019M07;3,81
Disueltas;J Información y comunicaciones;2019M06;3,46
Disueltas;J Información y comunicaciones;2019M05;3,98
Disueltas;J Información y comunicaciones;2019M04;3,28
Disueltas;J Información y comunicaciones;2019M03;4,14
Disueltas;J Información y comunicaciones;2019M02;4,03
Disueltas;J Información y comunicaciones;2019M01;3,56
Disueltas;J Información y comunicaciones;2018M12;3,32
Disueltas;J Información y comunicaciones;2018M11;4,09
Disueltas;J Información y comunicaciones;2018M10;4,38
Disueltas;J Información y comunicaciones;2018M09;5,28
Disueltas;J Información y comunicaciones;2018M08;3,57
Disueltas;J Información y comunicaciones;2018M07;2,79
Disueltas;J Información y comunicaciones;2018M06;5,16
Disueltas;J Información y comunicaciones;2018M05;3,48
Disueltas;J Información y comunicaciones;2018M04;4,46
Disueltas;J Información y comunicaciones;2018M03;5,67
Disueltas;J Información y comunicaciones;2018M02;3,19
Disueltas;J Información y comunicaciones;2018M01;3,9
Disueltas;J Información y comunicaciones;2017M12;3,12
Disueltas;J Información y comunicaciones;2017M11;4,78
Disueltas;J Información y comunicaciones;2017M10;4,88
Disueltas;J Información y comunicaciones;2017M09;6,41
Disueltas;J Información y comunicaciones;2017M08;4,46
Disueltas;J Información y comunicaciones;2017M07;4,3
Disueltas;J Información y comunicaciones;2017M06;3,97
Disueltas;J Información y comunicaciones;2017M05;3,27
Disueltas;J Información y comunicaciones;2017M04;4,37
Disueltas;J Información y comunicaciones;2017M03;3,76
Disueltas;J Información y comunicaciones;2017M02;3,27
Disueltas;J Información y comunicaciones;2017M01;3,52
Disueltas;J Información y comunicaciones;2016M12;3,63
Disueltas;J Información y comunicaciones;2016M11;4,23
Disueltas;J Información y comunicaciones;2016M10;4,17
Disueltas;J Información y comunicaciones;2016M09;4,39
Disueltas;J Información y comunicaciones;2016M08;3,73
Disueltas;J Información y comunicaciones;2016M07;3,71
Disueltas;J Información y comunicaciones;2016M06;4,29
Disueltas;J Información y comunicaciones;2016M05;3,13
Disueltas;J Información y comunicaciones;2016M04;3,66
Disueltas;J Información y comunicaciones;2016M03;3,9
Disueltas;J Información y comunicaciones;2016M02;3,87
Disueltas;J Información y comunicaciones;2016M01;4,47
Disueltas;J Información y comunicaciones;2015M12;4,15
Disueltas;J Información y comunicaciones;2015M11;4,06
Disueltas;J Información y comunicaciones;2015M10;3,74
Disueltas;J Información y comunicaciones;2015M09;3,08
Disueltas;J Información y comunicaciones;2015M08;3,88
Disueltas;J Información y comunicaciones;2015M07;3,84
Disueltas;J Información y comunicaciones;2015M06;3,17
Disueltas;J Información y comunicaciones;2015M05;4,36
Disueltas;J Información y comunicaciones;2015M04;3,61
Disueltas;J Información y comunicaciones;2015M03;2,92
Disueltas;J Información y comunicaciones;2015M02;4,01
Disueltas;J Información y comunicaciones;2015M01;3,76
Disueltas;J Información y comunicaciones;2014M12;4,01
Disueltas;J Información y comunicaciones;2014M11;3,83
Disueltas;J Información y comunicaciones;2014M10;5,19
Disueltas;J Información y comunicaciones;2014M09;4,53
Disueltas;J Información y comunicaciones;2014M08;2,77
Disueltas;J Información y comunicaciones;2014M07;3,72
Disueltas;J Información y comunicaciones;2014M06;3
Disueltas;J Información y comunicaciones;2014M05;2,92
Disueltas;J Información y comunicaciones;2014M04;2,53
Disueltas;J Información y comunicaciones;2014M03;4,08
Disueltas;J Información y comunicaciones;2014M02;3,25
Disueltas;J Información y comunicaciones;2014M01;3,92
Disueltas;J Información y comunicaciones;2013M12;3,11
Disueltas;J Información y comunicaciones;2013M11;3,3
Disueltas;J Información y comunicaciones;2013M10;3,04
Disueltas;J Información y comunicaciones;2013M09;3,2
Disueltas;J Información y comunicaciones;2013M08;4,33
Disueltas;J Información y comunicaciones;2013M07;3,71
Disueltas;J Información y comunicaciones;2013M06;3,81
Disueltas;J Información y comunicaciones;2013M05;3,23
Disueltas;J Información y comunicaciones;2013M04;2,53
Disueltas;J Información y comunicaciones;2013M03;2,89
Disueltas;J Información y comunicaciones;2013M02;3,03
Disueltas;J Información y comunicaciones;2013M01;3,13
Disueltas;J Información y comunicaciones;2012M12;3,28
Disueltas;J Información y comunicaciones;2012M11;3,39
Disueltas;J Información y comunicaciones;2012M10;3,61
Disueltas;J Información y comunicaciones;2012M09;2,9
Disueltas;J Información y comunicaciones;2012M08;3,56
Disueltas;J Información y comunicaciones;2012M07;3,38
Disueltas;J Información y comunicaciones;2012M06;2,28
Disueltas;J Información y comunicaciones;2012M05;2,18
Disueltas;J Información y comunicaciones;2012M04;3,48
Disueltas;J Información y comunicaciones;2012M03;3,34
Disueltas;J Información y comunicaciones;2012M02;3,71
Disueltas;J Información y comunicaciones;2012M01;3,27
Disueltas;Inmobiliarias financieras y seguros;2023M09;13,67
Disueltas;Inmobiliarias financieras y seguros;2023M08;13,62
Disueltas;Inmobiliarias financieras y seguros;2023M07;13,13
Disueltas;Inmobiliarias financieras y seguros;2023M06;13,46
Disueltas;Inmobiliarias financieras y seguros;2023M05;14,63
Disueltas;Inmobiliarias financieras y seguros;2023M04;17,09
Disueltas;Inmobiliarias financieras y seguros;2023M03;16,58
Disueltas;Inmobiliarias financieras y seguros;2023M02;17,12
Disueltas;Inmobiliarias financieras y seguros;2023M01;15,4
Disueltas;Inmobiliarias financieras y seguros;2022M12;17,3
Disueltas;Inmobiliarias financieras y seguros;2022M11;17,02
Disueltas;Inmobiliarias financieras y seguros;2022M10;19,54
Disueltas;Inmobiliarias financieras y seguros;2022M09;16,93
Disueltas;Inmobiliarias financieras y seguros;2022M08;15,35
Disueltas;Inmobiliarias financieras y seguros;2022M07;16,67
Disueltas;Inmobiliarias financieras y seguros;2022M06;11,36
Disueltas;Inmobiliarias financieras y seguros;2022M05;11,36
Disueltas;Inmobiliarias financieras y seguros;2022M04;10,96
Disueltas;Inmobiliarias financieras y seguros;2022M03;9,77
Disueltas;Inmobiliarias financieras y seguros;2022M02;10,26
Disueltas;Inmobiliarias financieras y seguros;2022M01;14,28
Disueltas;Inmobiliarias financieras y seguros;2021M12;10,72
Disueltas;Inmobiliarias financieras y seguros;2021M11;10,23
Disueltas;Inmobiliarias financieras y seguros;2021M10;10,35
Disueltas;Inmobiliarias financieras y seguros;2021M09;14,04
Disueltas;Inmobiliarias financieras y seguros;2021M08;11,79
Disueltas;Inmobiliarias financieras y seguros;2021M07;11,21
Disueltas;Inmobiliarias financieras y seguros;2021M06;9,96
Disueltas;Inmobiliarias financieras y seguros;2021M05;10,34
Disueltas;Inmobiliarias financieras y seguros;2021M04;10,34
Disueltas;Inmobiliarias financieras y seguros;2021M03;11,3
Disueltas;Inmobiliarias financieras y seguros;2021M02;10,82
Disueltas;Inmobiliarias financieras y seguros;2021M01;11,1
Disueltas;Inmobiliarias financieras y seguros;2020M12;11,2
Disueltas;Inmobiliarias financieras y seguros;2020M11;9,85
Disueltas;Inmobiliarias financieras y seguros;2020M10;10,24
Disueltas;Inmobiliarias financieras y seguros;2020M09;9,96
Disueltas;Inmobiliarias financieras y seguros;2020M08;11,25
Disueltas;Inmobiliarias financieras y seguros;2020M07;11,06
Disueltas;Inmobiliarias financieras y seguros;2020M06;9,93
Disueltas;Inmobiliarias financieras y seguros;2020M05;12,18
Disueltas;Inmobiliarias financieras y seguros;2020M04;12,78
Disueltas;Inmobiliarias financieras y seguros;2020M03;10,57
Disueltas;Inmobiliarias financieras y seguros;2020M02;10,95
Disueltas;Inmobiliarias financieras y seguros;2020M01;11,66
Disueltas;Inmobiliarias financieras y seguros;2019M12;9,78
Disueltas;Inmobiliarias financieras y seguros;2019M11;11,28
Disueltas;Inmobiliarias financieras y seguros;2019M10;10,78
Disueltas;Inmobiliarias financieras y seguros;2019M09;8,44
Disueltas;Inmobiliarias financieras y seguros;2019M08;10,01
Disueltas;Inmobiliarias financieras y seguros;2019M07;7,91
Disueltas;Inmobiliarias financieras y seguros;2019M06;10,24
Disueltas;Inmobiliarias financieras y seguros;2019M05;8,47
Disueltas;Inmobiliarias financieras y seguros;2019M04;10,85
Disueltas;Inmobiliarias financieras y seguros;2019M03;9,92
Disueltas;Inmobiliarias financieras y seguros;2019M02;9,04
Disueltas;Inmobiliarias financieras y seguros;2019M01;6,02
Disueltas;Inmobiliarias financieras y seguros;2018M12;8,85
Disueltas;Inmobiliarias financieras y seguros;2018M11;10,49
Disueltas;Inmobiliarias financieras y seguros;2018M10;8,58
Disueltas;Inmobiliarias financieras y seguros;2018M09;13,77
Disueltas;Inmobiliarias financieras y seguros;2018M08;12,49
Disueltas;Inmobiliarias financieras y seguros;2018M07;8,47
Disueltas;Inmobiliarias financieras y seguros;2018M06;8,69
Disueltas;Inmobiliarias financieras y seguros;2018M05;10,21
Disueltas;Inmobiliarias financieras y seguros;2018M04;10,54
Disueltas;Inmobiliarias financieras y seguros;2018M03;8,79
Disueltas;Inmobiliarias financieras y seguros;2018M02;9,66
Disueltas;Inmobiliarias financieras y seguros;2018M01;10,9
Disueltas;Inmobiliarias financieras y seguros;2017M12;10,07
Disueltas;Inmobiliarias financieras y seguros;2017M11;11,67
Disueltas;Inmobiliarias financieras y seguros;2017M10;11,14
Disueltas;Inmobiliarias financieras y seguros;2017M09;9,62
Disueltas;Inmobiliarias financieras y seguros;2017M08;9,98
Disueltas;Inmobiliarias financieras y seguros;2017M07;10,01
Disueltas;Inmobiliarias financieras y seguros;2017M06;10,28
Disueltas;Inmobiliarias financieras y seguros;2017M05;8,94
Disueltas;Inmobiliarias financieras y seguros;2017M04;9,96
Disueltas;Inmobiliarias financieras y seguros;2017M03;9,6
Disueltas;Inmobiliarias financieras y seguros;2017M02;9,76
Disueltas;Inmobiliarias financieras y seguros;2017M01;9,73
Disueltas;Inmobiliarias financieras y seguros;2016M12;10,26
Disueltas;Inmobiliarias financieras y seguros;2016M11;10,65
Disueltas;Inmobiliarias financieras y seguros;2016M10;11,65
Disueltas;Inmobiliarias financieras y seguros;2016M09;10,44
Disueltas;Inmobiliarias financieras y seguros;2016M08;9,25
Disueltas;Inmobiliarias financieras y seguros;2016M07;9,02
Disueltas;Inmobiliarias financieras y seguros;2016M06;9,67
Disueltas;Inmobiliarias financieras y seguros;2016M05;8,87
Disueltas;Inmobiliarias financieras y seguros;2016M04;10,25
Disueltas;Inmobiliarias financieras y seguros;2016M03;9,62
Disueltas;Inmobiliarias financieras y seguros;2016M02;8,6
Disueltas;Inmobiliarias financieras y seguros;2016M01;9,88
Disueltas;Inmobiliarias financieras y seguros;2015M12;8,38
Disueltas;Inmobiliarias financieras y seguros;2015M11;10,21
Disueltas;Inmobiliarias financieras y seguros;2015M10;11,4
Disueltas;Inmobiliarias financieras y seguros;2015M09;10,33
Disueltas;Inmobiliarias financieras y seguros;2015M08;8,02
Disueltas;Inmobiliarias financieras y seguros;2015M07;9,36
Disueltas;Inmobiliarias financieras y seguros;2015M06;10,01
Disueltas;Inmobiliarias financieras y seguros;2015M05;9,45
Disueltas;Inmobiliarias financieras y seguros;2015M04;9,79
Disueltas;Inmobiliarias financieras y seguros;2015M03;9,49
Disueltas;Inmobiliarias financieras y seguros;2015M02;9,91
Disueltas;Inmobiliarias financieras y seguros;2015M01;9,99
Disueltas;Inmobiliarias financieras y seguros;2014M12;8,86
Disueltas;Inmobiliarias financieras y seguros;2014M11;7,96
Disueltas;Inmobiliarias financieras y seguros;2014M10;8,8
Disueltas;Inmobiliarias financieras y seguros;2014M09;8,69
Disueltas;Inmobiliarias financieras y seguros;2014M08;9,03
Disueltas;Inmobiliarias financieras y seguros;2014M07;9,49
Disueltas;Inmobiliarias financieras y seguros;2014M06;8,93
Disueltas;Inmobiliarias financieras y seguros;2014M05;7,52
Disueltas;Inmobiliarias financieras y seguros;2014M04;7,6
Disueltas;Inmobiliarias financieras y seguros;2014M03;8,72
Disueltas;Inmobiliarias financieras y seguros;2014M02;7,08
Disueltas;Inmobiliarias financieras y seguros;2014M01;8,51
Disueltas;Inmobiliarias financieras y seguros;2013M12;8,83
Disueltas;Inmobiliarias financieras y seguros;2013M11;9,4
Disueltas;Inmobiliarias financieras y seguros;2013M10;8,68
Disueltas;Inmobiliarias financieras y seguros;2013M09;9,08
Disueltas;Inmobiliarias financieras y seguros;2013M08;11,13
Disueltas;Inmobiliarias financieras y seguros;2013M07;9,02
Disueltas;Inmobiliarias financieras y seguros;2013M06;6,53
Disueltas;Inmobiliarias financieras y seguros;2013M05;8,18
Disueltas;Inmobiliarias financieras y seguros;2013M04;8,37
Disueltas;Inmobiliarias financieras y seguros;2013M03;7,63
Disueltas;Inmobiliarias financieras y seguros;2013M02;8,28
Disueltas;Inmobiliarias financieras y seguros;2013M01;7,91
Disueltas;Inmobiliarias financieras y seguros;2012M12;9,74
Disueltas;Inmobiliarias financieras y seguros;2012M11;8,55
Disueltas;Inmobiliarias financieras y seguros;2012M10;9,64
Disueltas;Inmobiliarias financieras y seguros;2012M09;9,78
Disueltas;Inmobiliarias financieras y seguros;2012M08;10,68
Disueltas;Inmobiliarias financieras y seguros;2012M07;8,1
Disueltas;Inmobiliarias financieras y seguros;2012M06;6
Disueltas;Inmobiliarias financieras y seguros;2012M05;6,14
Disueltas;Inmobiliarias financieras y seguros;2012M04;6,25
Disueltas;Inmobiliarias financieras y seguros;2012M03;7,12
Disueltas;Inmobiliarias financieras y seguros;2012M02;7,56
Disueltas;Inmobiliarias financieras y seguros;2012M01;7,79
Disueltas;M Actividades profesionales, científicas y técnicas;2023M09;9,89
Disueltas;M Actividades profesionales, científicas y técnicas;2023M08;11,1
Disueltas;M Actividades profesionales, científicas y técnicas;2023M07;12,68
Disueltas;M Actividades profesionales, científicas y técnicas;2023M06;11,83
Disueltas;M Actividades profesionales, científicas y técnicas;2023M05;11,52
Disueltas;M Actividades profesionales, científicas y técnicas;2023M04;11,83
Disueltas;M Actividades profesionales, científicas y técnicas;2023M03;10,71
Disueltas;M Actividades profesionales, científicas y técnicas;2023M02;9,82
Disueltas;M Actividades profesionales, científicas y técnicas;2023M01;11,27
Disueltas;M Actividades profesionales, científicas y técnicas;2022M12;10,21
Disueltas;M Actividades profesionales, científicas y técnicas;2022M11;10,02
Disueltas;M Actividades profesionales, científicas y técnicas;2022M10;10,47
Disueltas;M Actividades profesionales, científicas y técnicas;2022M09;12,04
Disueltas;M Actividades profesionales, científicas y técnicas;2022M08;11,6
Disueltas;M Actividades profesionales, científicas y técnicas;2022M07;11,29
Disueltas;M Actividades profesionales, científicas y técnicas;2022M06;10,11
Disueltas;M Actividades profesionales, científicas y técnicas;2022M05;10,11
Disueltas;M Actividades profesionales, científicas y técnicas;2022M04;9,92
Disueltas;M Actividades profesionales, científicas y técnicas;2022M03;9,38
Disueltas;M Actividades profesionales, científicas y técnicas;2022M02;10,87
Disueltas;M Actividades profesionales, científicas y técnicas;2022M01;11,87
Disueltas;M Actividades profesionales, científicas y técnicas;2021M12;11,19
Disueltas;M Actividades profesionales, científicas y técnicas;2021M11;10,52
Disueltas;M Actividades profesionales, científicas y técnicas;2021M10;9,95
Disueltas;M Actividades profesionales, científicas y técnicas;2021M09;12,31
Disueltas;M Actividades profesionales, científicas y técnicas;2021M08;11,71
Disueltas;M Actividades profesionales, científicas y técnicas;2021M07;12,42
Disueltas;M Actividades profesionales, científicas y técnicas;2021M06;11,55
Disueltas;M Actividades profesionales, científicas y técnicas;2021M05;11,56
Disueltas;M Actividades profesionales, científicas y técnicas;2021M04;10,12
Disueltas;M Actividades profesionales, científicas y técnicas;2021M03;12,58
Disueltas;M Actividades profesionales, científicas y técnicas;2021M02;12,78
Disueltas;M Actividades profesionales, científicas y técnicas;2021M01;10,87
Disueltas;M Actividades profesionales, científicas y técnicas;2020M12;10,42
Disueltas;M Actividades profesionales, científicas y técnicas;2020M11;9,75
Disueltas;M Actividades profesionales, científicas y técnicas;2020M10;10,68
Disueltas;M Actividades profesionales, científicas y técnicas;2020M09;8,67
Disueltas;M Actividades profesionales, científicas y técnicas;2020M08;12,86
Disueltas;M Actividades profesionales, científicas y técnicas;2020M07;11,62
Disueltas;M Actividades profesionales, científicas y técnicas;2020M06;11,75
Disueltas;M Actividades profesionales, científicas y técnicas;2020M05;11,55
Disueltas;M Actividades profesionales, científicas y técnicas;2020M04;9,02
Disueltas;M Actividades profesionales, científicas y técnicas;2020M03;10,36
Disueltas;M Actividades profesionales, científicas y técnicas;2020M02;11,2
Disueltas;M Actividades profesionales, científicas y técnicas;2020M01;12,01
Disueltas;M Actividades profesionales, científicas y técnicas;2019M12;9,89
Disueltas;M Actividades profesionales, científicas y técnicas;2019M11;11,23
Disueltas;M Actividades profesionales, científicas y técnicas;2019M10;10,44
Disueltas;M Actividades profesionales, científicas y técnicas;2019M09;10,95
Disueltas;M Actividades profesionales, científicas y técnicas;2019M08;11,06
Disueltas;M Actividades profesionales, científicas y técnicas;2019M07;11,62
Disueltas;M Actividades profesionales, científicas y técnicas;2019M06;11,75
Disueltas;M Actividades profesionales, científicas y técnicas;2019M05;9,29
Disueltas;M Actividades profesionales, científicas y técnicas;2019M04;10,35
Disueltas;M Actividades profesionales, científicas y técnicas;2019M03;10,98
Disueltas;M Actividades profesionales, científicas y técnicas;2019M02;11,13
Disueltas;M Actividades profesionales, científicas y técnicas;2019M01;8,32
Disueltas;M Actividades profesionales, científicas y técnicas;2018M12;11,65
Disueltas;M Actividades profesionales, científicas y técnicas;2018M11;10,09
Disueltas;M Actividades profesionales, científicas y técnicas;2018M10;11,69
Disueltas;M Actividades profesionales, científicas y técnicas;2018M09;11,08
Disueltas;M Actividades profesionales, científicas y técnicas;2018M08;12,27
Disueltas;M Actividades profesionales, científicas y técnicas;2018M07;9,19
Disueltas;M Actividades profesionales, científicas y técnicas;2018M06;13,03
Disueltas;M Actividades profesionales, científicas y técnicas;2018M05;10,58
Disueltas;M Actividades profesionales, científicas y técnicas;2018M04;10,34
Disueltas;M Actividades profesionales, científicas y técnicas;2018M03;11,34
Disueltas;M Actividades profesionales, científicas y técnicas;2018M02;11,9
Disueltas;M Actividades profesionales, científicas y técnicas;2018M01;11,68
Disueltas;M Actividades profesionales, científicas y técnicas;2017M12;10,3
Disueltas;M Actividades profesionales, científicas y técnicas;2017M11;11,23
Disueltas;M Actividades profesionales, científicas y técnicas;2017M10;12,59
Disueltas;M Actividades profesionales, científicas y técnicas;2017M09;10,81
Disueltas;M Actividades profesionales, científicas y técnicas;2017M08;13,47
Disueltas;M Actividades profesionales, científicas y técnicas;2017M07;10,95
Disueltas;M Actividades profesionales, científicas y técnicas;2017M06;10,99
Disueltas;M Actividades profesionales, científicas y técnicas;2017M05;13,54
Disueltas;M Actividades profesionales, científicas y técnicas;2017M04;10,19
Disueltas;M Actividades profesionales, científicas y técnicas;2017M03;12,04
Disueltas;M Actividades profesionales, científicas y técnicas;2017M02;12,22
Disueltas;M Actividades profesionales, científicas y técnicas;2017M01;10,58
Disueltas;M Actividades profesionales, científicas y técnicas;2016M12;10,8
Disueltas;M Actividades profesionales, científicas y técnicas;2016M11;11,22
