Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M06;1,56
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M05;1,47
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M04;1,3
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M03;1,73
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M02;1,92
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2017M01;1,32
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M12;1,21
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M11;1,62
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M10;1,56
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M09;1,33
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M08;1,38
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M07;0,76
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M06;1,36
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M05;1,86
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M04;1,04
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M03;1,41
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M02;1,91
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2016M01;1,1
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M12;1,37
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M11;1,52
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M10;1,51
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M09;1,58
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M08;1,35
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M07;1,26
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M06;1,52
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M05;1,82
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M04;0,69
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M03;1,52
