Año;Periodo;Afiliados a la Seguridad Social
2020;Día 1 de marzo;488
2020;Día 2 de marzo;3.294
2020;Día 3 de marzo;888
2020;Día 4 de marzo;905
2020;Día 5 de marzo;1.221
2020;Día 6 de marzo;3.959
2020;Día 7 de marzo;1.298
2020;Día 8 de marzo;1.281
2020;Día 9 de marzo;2.493
2020;Día 10 de marzo;3.310
2020;Día 11 de marzo;37.560
2020;Día 12 de marzo;43.711
2020;Día 13 de marzo;114.110
2020;Día 14 de marzo;1.093.898
2020;Día 15 de marzo;1.540.745
2020;Día 16 de marzo;2.047.849
2020;Día 17 de marzo;2.144.245
2020;Día 18 de marzo;2.283.936
2020;Día 19 de marzo;2.391.520
2020;Día 20 de marzo;2.488.042
2020;Día 21 de marzo;2.525.946
2020;Día 22 de marzo;2.542.093
2020;Día 23 de marzo;2.775.600
2020;Día 24 de marzo;2.848.911
2020;Día 25 de marzo;2.902.676
2020;Día 26 de marzo;2.942.782
2020;Día 27 de marzo;2.982.985
2020;Día 28 de marzo;2.991.473
2020;Día 29 de marzo;2.998.880
2020;Día 30 de marzo;3.098.738
2020;Día 31 de marzo;3.108.554
2020;Día 1 de abril;3.415.877
2020;Día 2 de abril;3.433.706
2020;Día 3 de abril;3.452.144
2020;Día 4 de abril;3.450.492
2020;Día 5 de abril;3.469.506
2020;Día 6 de abril;3.503.277
2020;Día 7 de abril;3.516.841
2020;Día 8 de abril;3.532.335
2020;Día 9 de abril;3.531.362
2020;Día 10 de abril;3.530.164
2020;Día 11 de abril;3.530.367
2020;Día 12 de abril;3.531.082
2020;Día 13 de abril;3.551.441
2020;Día 14 de abril;3.580.310
2020;Día 15 de abril;3.592.016
2020;Día 16 de abril;3.597.929
2020;Día 17 de abril;3.606.304
2020;Día 18 de abril;3.595.591
2020;Día 19 de abril;3.593.275
2020;Día 20 de abril;3.608.520
2020;Día 21 de abril;3.607.695
2020;Día 22 de abril;3.607.650
2020;Día 23 de abril;3.608.148
2020;Día 24 de abril;3.617.205
2020;Día 25 de abril;3.600.704
2020;Día 26 de abril;3.593.406
2020;Día 27 de abril;3.582.117
2020;Día 28 de abril;3.578.432
2020;Día 29 de abril;3.575.686
2020;Día 30 de abril;3.576.192
2020;Día 1 de mayo;3.559.580
2020;Día 2 de mayo;3.560.245
2020;Día 3 de mayo;3.558.219
2020;Día 4 de mayo;3.500.253
2020;Día 5 de mayo;3.469.661
2020;Día 6 de mayo;3.450.893
2020;Día 7 de mayo;3.443.670
2020;Día 8 de mayo;3.447.068
2020;Día 9 de mayo;3.415.560
2020;Día 10 de mayo;3.411.443
2020;Día 11 de mayo;3.224.988
2020;Día 12 de mayo;3.187.083
2020;Día 13 de mayo;3.161.345
2020;Día 14 de mayo;3.155.128
2020;Día 15 de mayo;3.156.125
2020;Día 16 de mayo;3.123.215
2020;Día 17 de mayo;3.117.285
2020;Día 18 de mayo;3.016.098
2020;Día 19 de mayo;2.974.444
2020;Día 20 de mayo;2.947.039
2020;Día 21 de mayo;2.932.174
2020;Día 22 de mayo;2.930.218
2020;Día 23 de mayo;2.889.870
2020;Día 24 de mayo;2.883.045
2020;Día 25 de mayo;2.742.885
2020;Día 26 de mayo;2.702.935
2020;Día 27 de mayo;2.676.282
2020;Día 28 de mayo;2.665.817
2020;Día 29 de mayo;2.665.175
2020;Día 30 de mayo;2.617.510
2020;Día 31 de mayo;2.605.023
2020;Día 1 de junio;2.321.852
2020;Día 2 de junio;2.273.774
2020;Día 3 de junio;2.244.534
2020;Día 4 de junio;2.226.545
2020;Día 5 de junio;2.230.145
2020;Día 6 de junio;2.187.450
2020;Día 7 de junio;2.179.589
2020;Día 8 de junio;2.053.496
2020;Día 9 de junio;2.015.892
2020;Día 10 de junio;1.987.925
2020;Día 11 de junio;1.973.197
2020;Día 12 de junio;1.977.876
2020;Día 13 de junio;1.937.484
2020;Día 14 de junio;1.934.539
2020;Día 15 de junio;1.839.296
2020;Día 16 de junio;1.806.586
2020;Día 17 de junio;1.782.167
2020;Día 18 de junio;1.769.890
2020;Día 19 de junio;1.769.250
2020;Día 20 de junio;1.688.069
2020;Día 21 de junio;1.677.424
2020;Día 22 de junio;1.601.915
2020;Día 23 de junio;1.563.299
2020;Día 24 de junio;1.541.764
2020;Día 25 de junio;1.532.175
2020;Día 26 de junio;1.532.463
2020;Día 27 de junio;1.499.657
2020;Día 28 de junio;1.494.465
2020;Día 29 de junio;1.470.106
2020;Día 30 de junio;1.450.243
2020;Día 1 de julio;1.141.672
2020;Día 2 de julio;1.125.799
2020;Día 3 de julio;1.122.479
2020;Día 4 de julio;1.092.389
2020;Día 5 de julio;1.086.694
2020;Día 6 de julio;1.058.164
2020;Día 7 de julio;1.037.828
2020;Día 8 de julio;1.024.554
2020;Día 9 de julio;1.015.656
2020;Día 10 de julio;1.018.530
2020;Día 11 de julio;993.962
2020;Día 12 de julio;990.216
2020;Día 13 de julio;973.158
2020;Día 14 de julio;959.019
2020;Día 15 de julio;944.447
2020;Día 16 de julio;935.379
2020;Día 17 de julio;942.390
2020;Día 18 de julio;920.154
2020;Día 19 de julio;919.089
2020;Día 20 de julio;910.621
2020;Día 21 de julio;900.881
2020;Día 22 de julio;896.595
2020;Día 23 de julio;893.111
2020;Día 24 de julio;901.418
2020;Día 25 de julio;882.692
2020;Día 26 de julio;881.784
2020;Día 27 de julio;878.527
2020;Día 28 de julio;870.768
2020;Día 29 de julio;868.254
2020;Día 30 de julio;865.971
2020;Día 31 de julio;868.509
2020;Día 1 de agosto;812.959
2020;Día 2 de agosto;812.059
2020;Día 3 de agosto;802.168
2020;Día 4 de agosto;796.938
2020;Día 5 de agosto;794.026
2020;Día 6 de agosto;790.382
2020;Día 7 de agosto;791.143
2020;Día 8 de agosto;783.267
2020;Día 9 de agosto;782.013
2020;Día 10 de agosto;774.038
2020;Día 11 de agosto;769.988
2020;Día 12 de agosto;768.165
2020;Día 13 de agosto;765.874
2020;Día 14 de agosto;767.145
2020;Día 15 de agosto;760.769
2020;Día 16 de agosto;759.931
2020;Día 17 de agosto;761.593
2020;Día 18 de agosto;760.146
2020;Día 19 de agosto;758.527
2020;Día 20 de agosto;758.526
2020;Día 21 de agosto;761.325
2020;Día 22 de agosto;756.125
2020;Día 23 de agosto;756.540
2020;Día 24 de agosto;768.167
2020;Día 25 de agosto;765.544
2020;Día 26 de agosto;764.263
2020;Día 27 de agosto;764.045
2020;Día 28 de agosto;769.411
2020;Día 29 de agosto;763.346
2020;Día 30 de agosto;762.290
2020;Día 31 de agosto;768.615
2020;Día 1 de septiembre;734.262
2020;Día 2 de septiembre;730.823
2020;Día 3 de septiembre;730.398
2020;Día 4 de septiembre;737.228
2020;Día 5 de septiembre;724.876
2020;Día 6 de septiembre;722.337
2020;Día 7 de septiembre;726.530
2020;Día 8 de septiembre;721.101
2020;Día 9 de septiembre;719.059
2020;Día 10 de septiembre;717.729
2020;Día 11 de septiembre;724.475
2020;Día 12 de septiembre;711.394
2020;Día 13 de septiembre;711.158
2020;Día 14 de septiembre;717.741
2020;Día 15 de septiembre;710.898
2020;Día 16 de septiembre;707.577
2020;Día 17 de septiembre;708.687
2020;Día 18 de septiembre;716.186
2020;Día 19 de septiembre;703.138
2020;Día 20 de septiembre;704.378
2020;Día 21 de septiembre;711.493
2020;Día 22 de septiembre;708.470
2020;Día 23 de septiembre;708.481
2020;Día 24 de septiembre;709.727
2020;Día 25 de septiembre;717.911
2020;Día 26 de septiembre;703.406
2020;Día 27 de septiembre;703.038
2020;Día 28 de septiembre;711.436
2020;Día 29 de septiembre;708.576
2020;Día 30 de septiembre;706.107
2020;Día 1 de octubre;654.644
2020;Día 2 de octubre;656.837
2020;Día 3 de octubre;645.212
2020;Día 4 de octubre;644.736
2020;Día 5 de octubre;651.808
2020;Día 6 de octubre;642.434
2020;Día 7 de octubre;640.999
2020;Día 8 de octubre;640.659
2020;Día 9 de octubre;644.006
2020;Día 10 de octubre;633.503
2020;Día 11 de octubre;632.370
2020;Día 12 de octubre;633.563
2020;Día 13 de octubre;644.128
2020;Día 14 de octubre;635.736
2020;Día 15 de octubre;636.739
2020;Día 16 de octubre;696.825
2020;Día 17 de octubre;690.366
2020;Día 18 de octubre;691.982
2020;Día 19 de octubre;705.812
2020;Día 20 de octubre;698.073
2020;Día 21 de octubre;698.509
2020;Día 22 de octubre;705.255
2020;Día 23 de octubre;711.992
2020;Día 24 de octubre;703.254
2020;Día 25 de octubre;704.611
2020;Día 26 de octubre;719.058
2020;Día 27 de octubre;716.168
2020;Día 28 de octubre;716.283
2020;Día 29 de octubre;717.374
2020;Día 30 de octubre;736.924
2020;Día 31 de octubre;728.321
2020;Día 1 de noviembre;754.694
2020;Día 2 de noviembre;767.068
2020;Día 3 de noviembre;770.357
2020;Día 4 de noviembre;785.691
2020;Día 5 de noviembre;790.182
2020;Día 6 de noviembre;821.405
2020;Día 7 de noviembre;852.401
2020;Día 8 de noviembre;849.802
2020;Día 9 de noviembre;865.381
2020;Día 10 de noviembre;897.511
2020;Día 11 de noviembre;900.019
2020;Día 12 de noviembre;904.053
2020;Día 13 de noviembre;911.323
2020;Día 14 de noviembre;903.954
2020;Día 15 de noviembre;905.151
2020;Día 16 de noviembre;915.403
2020;Día 17 de noviembre;908.332
2020;Día 18 de noviembre;908.612
2020;Día 19 de noviembre;909.995
2020;Día 20 de noviembre;918.627
2020;Día 21 de noviembre;904.780
2020;Día 22 de noviembre;904.797
2020;Día 23 de noviembre;888.466
2020;Día 24 de noviembre;872.069
2020;Día 25 de noviembre;865.411
2020;Día 26 de noviembre;863.978
2020;Día 27 de noviembre;865.427
2020;Día 28 de noviembre;854.961
2020;Día 29 de noviembre;853.123
2020;Día 30 de noviembre;850.950
2020;Día 1 de diciembre;833.339
2020;Día 2 de diciembre;827.953
2020;Día 3 de diciembre;823.448
2020;Día 4 de diciembre;817.489
2020;Día 5 de diciembre;802.729
2020;Día 6 de diciembre;802.049
2020;Día 7 de diciembre;801.892
2020;Día 8 de diciembre;795.189
2020;Día 9 de diciembre;792.260
2020;Día 10 de diciembre;787.821
2020;Día 11 de diciembre;781.393
2020;Día 12 de diciembre;757.779
2020;Día 13 de diciembre;755.023
2020;Día 14 de diciembre;734.951
2020;Día 15 de diciembre;726.153
2020;Día 16 de diciembre;721.976
2020;Día 17 de diciembre;723.769
2020;Día 18 de diciembre;719.711
2020;Día 19 de diciembre;711.666
2020;Día 20 de diciembre;711.624
