Total Nacional;Comunidades y Ciudades Autónomas;Principales indicadores;Periodo;Total
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2022T1;-24,1
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2021T4;-17,2
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2021T3;-10,3
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2021T2;-41,5
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2021T1;-59,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2020T4;-67,0
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2020T3;-69,2
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2020T2;-81,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2020T1;-13,3
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2019T4;-14,8
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2019T3;5,9
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2019T2;10,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2019T1;-11,4
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2018T4;-7,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2018T3;13,3
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2018T2;20,1
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2018T1;-9,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2017T4;-4,4
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2017T3;22,5
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2017T2;19,9
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2017T1;-8,2
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2016T4;-4,0
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2016T3;18,1
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2016T2;10,1
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2016T1;-11,7
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2015T4;-9,1
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2015T3;16,5
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2015T2;12,6
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2015T1;-23,0
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2014T4;-20,9
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2014T3;0,8
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2014T2;-0,5
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2014T1;-34,5
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2013T4;-34,9
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2013T3;-16,0
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2013T2;-24,3
Total Nacional;04 Balears, Illes;Expectativas del trimestre entrante;2013T1;-55,5
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2023T4;132,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2023T3;133,3
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2023T2;131,9
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2023T1;132,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2022T4;126,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2022T3;128,4
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2022T2;120,3
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2022T1;118,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2021T4;123,7
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2021T3;112,4
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2021T2;97,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2021T1;94,3
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2020T4;93,5
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2020T3;86,4
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2020T2;85,7
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2020T1;122,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2019T4;121,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2019T3;122,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2019T2;123,4
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2019T1;125,4
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2018T4;129,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2018T3;128,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2018T2;132,1
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2018T1;136,5
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2017T4;136,7
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2017T3;132,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2017T2;132,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2017T1;134,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2016T4;132,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2016T3;129,5
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2016T2;129,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2016T1;128,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2015T4;130,6
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2015T3;125,3
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2015T2;126,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2015T1;123,7
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2014T4;122,2
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2014T3;117,1
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2014T2;117,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2014T1;115,8
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2013T4;113,5
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2013T3;103,9
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2013T2;103,1
Total Nacional;05 Canarias;Indice de confianza empresarial armonizado;2013T1;100,0
Total Nacional;05 Canarias;Situación del trimestre anterior;2023T4;9,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2023T3;9,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2023T2;10,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2023T1;17,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2022T4;6,3
Total Nacional;05 Canarias;Situación del trimestre anterior;2022T3;2,3
Total Nacional;05 Canarias;Situación del trimestre anterior;2022T2;-6,7
Total Nacional;05 Canarias;Situación del trimestre anterior;2022T1;-3,8
Total Nacional;05 Canarias;Situación del trimestre anterior;2021T4;-6,0
Total Nacional;05 Canarias;Situación del trimestre anterior;2021T3;-28,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2021T2;-48,8
Total Nacional;05 Canarias;Situación del trimestre anterior;2021T1;-48,6
Total Nacional;05 Canarias;Situación del trimestre anterior;2020T4;-48,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2020T3;-69,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2020T2;-47,6
Total Nacional;05 Canarias;Situación del trimestre anterior;2020T1;-4,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2019T4;-7,0
Total Nacional;05 Canarias;Situación del trimestre anterior;2019T3;-9,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2019T2;-4,6
Total Nacional;05 Canarias;Situación del trimestre anterior;2019T1;3,3
Total Nacional;05 Canarias;Situación del trimestre anterior;2018T4;1,6
Total Nacional;05 Canarias;Situación del trimestre anterior;2018T3;-0,1
Total Nacional;05 Canarias;Situación del trimestre anterior;2018T2;8,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2018T1;20,1
Total Nacional;05 Canarias;Situación del trimestre anterior;2017T4;14,0
Total Nacional;05 Canarias;Situación del trimestre anterior;2017T3;5,7
Total Nacional;05 Canarias;Situación del trimestre anterior;2017T2;9,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2017T1;14,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2016T4;7,2
Total Nacional;05 Canarias;Situación del trimestre anterior;2016T3;3,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2016T2;7,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2016T1;6,8
Total Nacional;05 Canarias;Situación del trimestre anterior;2015T4;7,1
Total Nacional;05 Canarias;Situación del trimestre anterior;2015T3;-5,8
Total Nacional;05 Canarias;Situación del trimestre anterior;2015T2;-0,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2015T1;-3,1
Total Nacional;05 Canarias;Situación del trimestre anterior;2014T4;-8,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2014T3;-18,4
Total Nacional;05 Canarias;Situación del trimestre anterior;2014T2;-14,2
Total Nacional;05 Canarias;Situación del trimestre anterior;2014T1;-16,6
Total Nacional;05 Canarias;Situación del trimestre anterior;2013T4;-23,5
Total Nacional;05 Canarias;Situación del trimestre anterior;2013T3;-40,9
Total Nacional;05 Canarias;Situación del trimestre anterior;2013T2;-36,7
Total Nacional;05 Canarias;Situación del trimestre anterior;2013T1;-40,2
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2023T4;9,2
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2023T3;10,7
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2023T2;5,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2023T1;-0,4
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2022T4;-7,1
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2022T3;2,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2022T2;-13,9
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2022T1;-21,9
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2021T4;-4,2
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2021T3;-16,7
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2021T2;-43,5
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2021T1;-54,2
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2020T4;-56,8
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2020T3;-58,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2020T2;-80,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2020T1;-10,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2019T4;-10,9
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2019T3;-4,1
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2019T2;-6,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2019T1;-7,8
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2018T4;5,6
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2018T3;6,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2018T2;8,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2018T1;10,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2017T4;17,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2017T3;12,4
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2017T2;9,0
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2017T1;8,6
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2016T4;9,4
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2016T3;4,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2016T2;1,8
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2016T1;-0,8
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2015T4;4,5
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2015T3;0,8
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2015T2;0,7
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2015T1;-6,9
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2014T4;-5,9
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2014T3;-12,4
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2014T2;-14,5
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2014T1;-18,5
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2013T4;-18,7
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2013T3;-31,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2013T2;-38,3
Total Nacional;05 Canarias;Expectativas del trimestre entrante;2013T1;-44,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2023T4;143,2
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2023T3;147,2
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2023T2;140,3
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2023T1;138,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2022T4;139,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2022T3;137,4
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2022T2;131,4
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2022T1;135,2
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2021T4;140,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2021T3;139,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2021T2;129,2
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2021T1;120,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2020T4;121,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2020T3;104,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2020T2;100,9
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2020T1;135,1
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2019T4;142,9
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2019T3;145,2
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2019T2;139,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2019T1;139,4
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2018T4;144,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2018T3;146,0
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2018T2;141,9
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2018T1;142,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2017T4;143,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2017T3;149,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2017T2;141,0
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2017T1;134,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2016T4;133,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2016T3;137,0
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2016T2;131,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2016T1;134,8
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2015T4;133,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2015T3;136,9
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2015T2;133,0
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2015T1;125,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2014T4;128,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2014T3;125,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2014T2;119,9
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2014T1;117,5
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2013T4;112,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2013T3;108,6
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2013T2;106,7
Total Nacional;06 Cantabria;Indice de confianza empresarial armonizado;2013T1;100,0
Total Nacional;06 Cantabria;Situación del trimestre anterior;2023T4;5,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2023T3;5,7
Total Nacional;06 Cantabria;Situación del trimestre anterior;2023T2;-5,8
Total Nacional;06 Cantabria;Situación del trimestre anterior;2023T1;0,8
Total Nacional;06 Cantabria;Situación del trimestre anterior;2022T4;5,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2022T3;-6,7
Total Nacional;06 Cantabria;Situación del trimestre anterior;2022T2;-13,6
Total Nacional;06 Cantabria;Situación del trimestre anterior;2022T1;-4,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2021T4;4,3
Total Nacional;06 Cantabria;Situación del trimestre anterior;2021T3;-8,6
Total Nacional;06 Cantabria;Situación del trimestre anterior;2021T2;-21,4
Total Nacional;06 Cantabria;Situación del trimestre anterior;2021T1;-24,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2020T4;-25,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2020T3;-63,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2020T2;-39,3
Total Nacional;06 Cantabria;Situación del trimestre anterior;2020T1;-7,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2019T4;7,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2019T3;-1,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2019T2;-9,8
Total Nacional;06 Cantabria;Situación del trimestre anterior;2019T1;0,4
Total Nacional;06 Cantabria;Situación del trimestre anterior;2018T4;7,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2018T3;-1,1
Total Nacional;06 Cantabria;Situación del trimestre anterior;2018T2;-9,6
Total Nacional;06 Cantabria;Situación del trimestre anterior;2018T1;5,7
Total Nacional;06 Cantabria;Situación del trimestre anterior;2017T4;11,4
Total Nacional;06 Cantabria;Situación del trimestre anterior;2017T3;4,1
Total Nacional;06 Cantabria;Situación del trimestre anterior;2017T2;-10,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2017T1;-5,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2016T4;-4,6
Total Nacional;06 Cantabria;Situación del trimestre anterior;2016T3;-11,3
Total Nacional;06 Cantabria;Situación del trimestre anterior;2016T2;-20,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2016T1;-5,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2015T4;-6,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2015T3;-11,5
Total Nacional;06 Cantabria;Situación del trimestre anterior;2015T2;-21,3
Total Nacional;06 Cantabria;Situación del trimestre anterior;2015T1;-20,4
Total Nacional;06 Cantabria;Situación del trimestre anterior;2014T4;-15,0
Total Nacional;06 Cantabria;Situación del trimestre anterior;2014T3;-28,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2014T2;-36,2
Total Nacional;06 Cantabria;Situación del trimestre anterior;2014T1;-33,0
Total Nacional;06 Cantabria;Situación del trimestre anterior;2013T4;-37,6
Total Nacional;06 Cantabria;Situación del trimestre anterior;2013T3;-50,9
Total Nacional;06 Cantabria;Situación del trimestre anterior;2013T2;-50,7
Total Nacional;06 Cantabria;Situación del trimestre anterior;2013T1;-59,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2023T4;-2,9
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2023T3;8,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2023T2;0,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2023T1;-11,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2022T4;-12,1
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2022T3;-7,1
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2022T2;-16,9
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2022T1;-15,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2021T4;-8,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2021T3;0,8
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2021T2;-15,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2021T1;-35,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2020T4;-32,8
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2020T3;-42,0
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2020T2;-74,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2020T1;-12,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2019T4;-5,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2019T3;9,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2019T2;2,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2019T1;-8,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2018T4;-1,2
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2018T3;11,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2018T2;8,9
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2018T1;-4,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2017T4;-7,6
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2017T3;16,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2017T2;7,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2017T1;-16,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2016T4;-19,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2016T3;-3,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2016T2;-9,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2016T1;-15,0
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2015T4;-17,7
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2015T3;-3,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2015T2;-4,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2015T1;-26,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2014T4;-23,1
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2014T3;-17,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2014T2;-26,5
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2014T1;-36,6
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2013T4;-45,4
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2013T3;-43,8
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2013T2;-49,3
Total Nacional;06 Cantabria;Expectativas del trimestre entrante;2013T1;-59,4
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2023T4;141,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2023T3;144,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2023T2;143,8
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2023T1;137,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2022T4;136,8
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2022T3;138,3
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2022T2;130,6
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2022T1;139,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2021T4;140,6
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2021T3;138,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2021T2;127,2
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2021T1;117,4
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2020T4;113,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2020T3;106,7
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2020T2;103,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2020T1;138,7
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2019T4;141,5
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2019T3;146,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2019T2;142,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2019T1;144,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2018T4;145,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2018T3;147,9
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2018T2;141,7
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2018T1;143,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2017T4;145,6
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2017T3;146,9
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2017T2;143,9
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2017T1;140,4
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2016T4;140,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2016T3;138,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2016T2;134,7
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2016T1;139,3
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2015T4;137,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2015T3;138,7
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2015T2;133,5
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2015T1;128,5
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2014T4;127,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2014T3;126,0
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2014T2;117,6
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2014T1;114,5
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2013T4;114,1
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2013T3;113,8
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2013T2;106,5
Total Nacional;08 Castilla - La Mancha;Indice de confianza empresarial armonizado;2013T1;100,0
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2023T4;-4,0
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2023T3;-0,7
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2023T2;-7,2
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2023T1;-5,7
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2022T4;-5,6
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2022T3;-8,1
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2022T2;-19,2
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2022T1;-0,7
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2021T4;-4,3
Total Nacional;08 Castilla - La Mancha;Situación del trimestre anterior;2021T3;-14,0
