Provincias;Clase de disolución;Periodo;Total
02 Albacete;Otras;2021M06;0
02 Albacete;Otras;2021M05;1
02 Albacete;Otras;2021M04;1
02 Albacete;Otras;2021M03;0
02 Albacete;Otras;2021M02;3
02 Albacete;Otras;2021M01;0
02 Albacete;Otras;2020M12;0
02 Albacete;Otras;2020M11;0
02 Albacete;Otras;2020M10;1
02 Albacete;Otras;2020M09;1
02 Albacete;Otras;2020M08;0
02 Albacete;Otras;2020M07;0
02 Albacete;Otras;2020M06;1
02 Albacete;Otras;2020M05;0
02 Albacete;Otras;2020M04;0
02 Albacete;Otras;2020M03;0
02 Albacete;Otras;2020M02;3
02 Albacete;Otras;2020M01;1
02 Albacete;Otras;2019M12;0
02 Albacete;Otras;2019M11;0
02 Albacete;Otras;2019M10;1
02 Albacete;Otras;2019M09;0
02 Albacete;Otras;2019M08;0
02 Albacete;Otras;2019M07;3
02 Albacete;Otras;2019M06;2
02 Albacete;Otras;2019M05;0
02 Albacete;Otras;2019M04;2
02 Albacete;Otras;2019M03;1
02 Albacete;Otras;2019M02;0
02 Albacete;Otras;2019M01;2
02 Albacete;Otras;2018M12;2
02 Albacete;Otras;2018M11;2
02 Albacete;Otras;2018M10;0
02 Albacete;Otras;2018M09;2
02 Albacete;Otras;2018M08;0
02 Albacete;Otras;2018M07;5
02 Albacete;Otras;2018M06;3
02 Albacete;Otras;2018M05;1
02 Albacete;Otras;2018M04;4
02 Albacete;Otras;2018M03;1
02 Albacete;Otras;2018M02;0
02 Albacete;Otras;2018M01;1
02 Albacete;Otras;2017M12;0
02 Albacete;Otras;2017M11;1
02 Albacete;Otras;2017M10;2
02 Albacete;Otras;2017M09;0
02 Albacete;Otras;2017M08;2
02 Albacete;Otras;2017M07;1
02 Albacete;Otras;2017M06;0
02 Albacete;Otras;2017M05;1
02 Albacete;Otras;2017M04;4
02 Albacete;Otras;2017M03;1
02 Albacete;Otras;2017M02;3
02 Albacete;Otras;2017M01;0
02 Albacete;Otras;2016M12;3
02 Albacete;Otras;2016M11;1
02 Albacete;Otras;2016M10;2
02 Albacete;Otras;2016M09;3
02 Albacete;Otras;2016M08;0
02 Albacete;Otras;2016M07;1
02 Albacete;Otras;2016M06;1
02 Albacete;Otras;2016M05;1
02 Albacete;Otras;2016M04;3
02 Albacete;Otras;2016M03;4
02 Albacete;Otras;2016M02;3
02 Albacete;Otras;2016M01;1
02 Albacete;Otras;2015M12;0
02 Albacete;Otras;2015M11;2
02 Albacete;Otras;2015M10;6
02 Albacete;Otras;2015M09;0
02 Albacete;Otras;2015M08;0
02 Albacete;Otras;2015M07;2
02 Albacete;Otras;2015M06;3
02 Albacete;Otras;2015M05;5
02 Albacete;Otras;2015M04;7
02 Albacete;Otras;2015M03;3
02 Albacete;Otras;2015M02;2
02 Albacete;Otras;2015M01;0
02 Albacete;Otras;2014M12;3
02 Albacete;Otras;2014M11;2
02 Albacete;Otras;2014M10;6
02 Albacete;Otras;2014M09;2
02 Albacete;Otras;2014M08;0
02 Albacete;Otras;2014M07;5
02 Albacete;Otras;2014M06;2
02 Albacete;Otras;2014M05;2
02 Albacete;Otras;2014M04;2
02 Albacete;Otras;2014M03;6
02 Albacete;Otras;2014M02;4
02 Albacete;Otras;2014M01;5
02 Albacete;Otras;2013M12;2
02 Albacete;Otras;2013M11;2
02 Albacete;Otras;2013M10;3
02 Albacete;Otras;2013M09;11
