Actividad Económica;Fecha;Comunidad Autónoma;Tipo de ERTE; Número de ERTES 
Total Actividades;31/10/2021;17 Rioja, La;Parcial;298
Total Actividades;31/10/2021;18 Ceuta;Parcial;66
Total Actividades;31/10/2021;19 Melilla;Parcial;73
Total Actividades;31/03/2022;01 Andalucía;Total;6413
Total Actividades;31/03/2022;02 Aragón;Total;998
Total Actividades;31/03/2022;03 Asturias, Principado de;Total;1537
Total Actividades;31/03/2022;04 Balears, Illes;Total;1707
Total Actividades;31/03/2022;05 Canarias;Total;5314
Total Actividades;31/03/2022;06 Cantabria;Total;682
Total Actividades;31/03/2022;07 Castilla y León;Total;1286
Total Actividades;31/03/2022;08 Castilla - La Mancha;Total;2328
Total Actividades;31/03/2022;09 Cataluña;Total;9143
Total Actividades;31/03/2022;10 Comunitat Valenciana;Total;3755
Total Actividades;31/03/2022;11 Extremadura;Total;496
Total Actividades;31/03/2022;12 Galicia;Total;3132
Total Actividades;31/03/2022;13 Madrid, Comunidad de;Total;7507
Total Actividades;31/03/2022;14 Murcia, Región de;Total;469
Total Actividades;31/03/2022;15 Navarra, Comunidad Foral de;Total;440
Total Actividades;31/03/2022;16 País Vasco;Total;2422
Total Actividades;31/03/2022;17 Rioja, La;Total;157
Total Actividades;31/03/2022;18 Ceuta;Total;155
Total Actividades;31/03/2022;19 Melilla;Total;162
Total Actividades;31/03/2022;01 Andalucía;Parcial;6081
Total Actividades;31/03/2022;02 Aragón;Parcial;645
Total Actividades;31/03/2022;03 Asturias, Principado de;Parcial;859
Total Actividades;31/03/2022;04 Balears, Illes;Parcial;2373
Total Actividades;31/03/2022;05 Canarias;Parcial;3544
Total Actividades;31/03/2022;06 Cantabria;Parcial;478
Total Actividades;31/03/2022;07 Castilla y León;Parcial;892
Total Actividades;31/03/2022;08 Castilla - La Mancha;Parcial;2098
Total Actividades;31/03/2022;09 Cataluña;Parcial;8911
Total Actividades;31/03/2022;10 Comunitat Valenciana;Parcial;2233
Total Actividades;31/03/2022;11 Extremadura;Parcial;612
Total Actividades;31/03/2022;12 Galicia;Parcial;2044
Total Actividades;31/03/2022;13 Madrid, Comunidad de;Parcial;8653
Total Actividades;31/03/2022;14 Murcia, Región de;Parcial;288
Total Actividades;31/03/2022;15 Navarra, Comunidad Foral de;Parcial;397
Total Actividades;31/03/2022;16 País Vasco;Parcial;2213
Total Actividades;31/03/2022;17 Rioja, La;Parcial;191
Total Actividades;31/03/2022;18 Ceuta;Parcial;70
Total Actividades;31/03/2022;19 Melilla;Parcial;99
